,ID,bias,hate,label
0,0,none,none,0
1,1,none,none,0
2,2,none,hate,1
3,3,others,hate,3
4,4,others,hate,3
5,5,none,hate,1
6,6,others,hate,3
7,7,none,hate,1
8,8,gender,hate,5
9,9,none,none,0
10,10,gender,hate,5
11,11,gender,hate,5
12,12,none,none,0
13,13,others,hate,3
14,14,none,none,0
15,15,gender,hate,5
16,16,none,hate,1
17,17,gender,hate,5
18,18,none,none,0
19,19,none,none,0
20,20,gender,hate,5
21,21,none,hate,1
22,22,others,hate,3
23,23,none,hate,1
24,24,none,hate,1
25,25,none,none,0
26,26,gender,hate,5
27,27,none,none,0
28,28,none,hate,1
29,29,none,none,0
30,30,others,hate,3
31,31,gender,hate,5
32,32,none,hate,1
33,33,others,hate,3
34,34,none,none,0
35,35,gender,hate,5
36,36,none,none,0
37,37,none,none,0
38,38,none,hate,1
39,39,others,hate,3
40,40,gender,hate,5
41,41,none,hate,1
42,42,others,hate,3
43,43,none,none,0
44,44,none,none,0
45,45,others,hate,3
46,46,none,hate,1
47,47,none,hate,1
48,48,none,hate,1
49,49,gender,hate,5
50,50,gender,hate,5
51,51,none,none,0
52,52,others,hate,3
53,53,gender,hate,5
54,54,none,hate,1
55,55,gender,hate,5
56,56,gender,hate,5
57,57,none,none,0
58,58,none,hate,1
59,59,none,hate,1
60,60,others,hate,3
61,61,gender,hate,5
62,62,none,none,0
63,63,gender,hate,5
64,64,none,hate,1
65,65,none,hate,1
66,66,none,hate,1
67,67,none,hate,1
68,68,none,none,0
69,69,gender,hate,5
70,70,none,none,0
71,71,none,hate,1
72,72,none,hate,1
73,73,none,hate,1
74,74,others,hate,3
75,75,none,none,0
76,76,gender,hate,5
77,77,none,hate,1
78,78,gender,hate,5
79,79,none,hate,1
80,80,others,hate,3
81,81,none,none,0
82,82,others,hate,3
83,83,none,none,0
84,84,none,none,0
85,85,none,none,0
86,86,none,hate,1
87,87,others,hate,3
88,88,gender,hate,5
89,89,none,none,0
90,90,none,none,0
91,91,none,hate,1
92,92,none,hate,1
93,93,others,hate,3
94,94,none,hate,1
95,95,gender,hate,5
96,96,none,hate,1
97,97,others,hate,3
98,98,none,none,0
99,99,none,hate,1
100,100,none,none,0
101,101,none,hate,1
102,102,none,none,0
103,103,none,none,0
104,104,gender,hate,5
105,105,none,none,0
106,106,none,none,0
107,107,none,hate,1
108,108,none,hate,1
109,109,none,none,0
110,110,none,none,0
111,111,gender,hate,5
112,112,none,hate,1
113,113,none,none,0
114,114,others,hate,3
115,115,gender,hate,5
116,116,others,hate,3
117,117,none,none,0
118,118,none,none,0
119,119,none,none,0
120,120,none,none,0
121,121,none,none,0
122,122,none,none,0
123,123,none,hate,1
124,124,others,hate,3
125,125,none,hate,1
126,126,gender,hate,5
127,127,gender,hate,5
128,128,none,none,0
129,129,gender,hate,5
130,130,none,none,0
131,131,none,hate,1
132,132,none,none,0
133,133,gender,hate,5
134,134,none,hate,1
135,135,none,none,0
136,136,none,hate,1
137,137,none,none,0
138,138,none,none,0
139,139,none,hate,1
140,140,none,none,0
141,141,none,hate,1
142,142,gender,hate,5
143,143,none,none,0
144,144,none,none,0
145,145,none,hate,1
146,146,none,none,0
147,147,none,hate,1
148,148,none,hate,1
149,149,none,none,0
150,150,others,hate,3
151,151,none,none,0
152,152,none,none,0
153,153,gender,hate,5
154,154,gender,hate,5
155,155,none,hate,1
156,156,none,hate,1
157,157,others,hate,3
158,158,none,none,0
159,159,none,none,0
160,160,none,none,0
161,161,gender,hate,5
162,162,none,none,0
163,163,none,hate,1
164,164,others,hate,3
165,165,gender,hate,5
166,166,none,hate,1
167,167,none,hate,1
168,168,gender,hate,5
169,169,none,none,0
170,170,gender,hate,5
171,171,none,none,0
172,172,none,none,0
173,173,none,none,0
174,174,gender,hate,5
175,175,others,hate,3
176,176,gender,hate,5
177,177,none,hate,1
178,178,gender,hate,5
179,179,none,none,0
180,180,none,none,0
181,181,others,hate,3
182,182,gender,hate,5
183,183,others,hate,3
184,184,others,hate,3
185,185,others,hate,3
186,186,none,none,0
187,187,others,hate,3
188,188,none,none,0
189,189,none,none,0
190,190,none,hate,1
191,191,none,hate,1
192,192,others,hate,3
193,193,none,hate,1
194,194,others,hate,3
195,195,none,hate,1
196,196,gender,hate,5
197,197,none,hate,1
198,198,none,hate,1
199,199,none,none,0
200,200,none,none,0
201,201,none,hate,1
202,202,none,none,0
203,203,none,hate,1
204,204,gender,hate,5
205,205,others,hate,3
206,206,none,none,0
207,207,none,none,0
208,208,none,hate,1
209,209,others,hate,3
210,210,none,none,0
211,211,others,hate,3
212,212,none,none,0
213,213,none,hate,1
214,214,none,none,0
215,215,none,none,0
216,216,gender,hate,5
217,217,none,none,0
218,218,others,hate,3
219,219,none,hate,1
220,220,none,hate,1
221,221,others,hate,3
222,222,none,none,0
223,223,none,hate,1
224,224,others,hate,3
225,225,none,none,0
226,226,others,hate,3
227,227,none,none,0
228,228,others,hate,3
229,229,others,hate,3
230,230,gender,hate,5
231,231,none,none,0
232,232,none,hate,1
233,233,none,hate,1
234,234,gender,hate,5
235,235,gender,hate,5
236,236,none,none,0
237,237,none,none,0
238,238,none,none,0
239,239,gender,hate,5
240,240,gender,hate,5
241,241,gender,hate,5
242,242,gender,hate,5
243,243,none,none,0
244,244,none,none,0
245,245,others,hate,3
246,246,gender,hate,5
247,247,none,hate,1
248,248,none,none,0
249,249,none,none,0
250,250,none,hate,1
251,251,none,hate,1
252,252,none,hate,1
253,253,none,hate,1
254,254,none,hate,1
255,255,none,none,0
256,256,none,none,0
257,257,none,hate,1
258,258,gender,hate,5
259,259,gender,hate,5
260,260,none,hate,1
261,261,none,hate,1
262,262,others,hate,3
263,263,none,none,0
264,264,none,none,0
265,265,none,none,0
266,266,gender,hate,5
267,267,gender,hate,5
268,268,none,hate,1
269,269,none,none,0
270,270,others,hate,3
271,271,gender,hate,5
272,272,none,none,0
273,273,none,none,0
274,274,none,none,0
275,275,none,none,0
276,276,none,hate,1
277,277,none,hate,1
278,278,none,hate,1
279,279,others,hate,3
280,280,none,hate,1
281,281,gender,hate,5
282,282,gender,hate,5
283,283,none,none,0
284,284,none,none,0
285,285,none,none,0
286,286,none,hate,1
287,287,others,hate,3
288,288,none,none,0
289,289,none,hate,1
290,290,none,hate,1
291,291,none,hate,1
292,292,none,hate,1
293,293,none,none,0
294,294,others,hate,3
295,295,none,hate,1
296,296,others,hate,3
297,297,others,hate,3
298,298,none,none,0
299,299,none,none,0
300,300,gender,hate,5
301,301,gender,hate,5
302,302,none,hate,1
303,303,others,hate,3
304,304,none,hate,1
305,305,none,none,0
306,306,none,none,0
307,307,none,hate,1
308,308,others,hate,3
309,309,others,hate,3
310,310,none,none,0
311,311,none,hate,1
312,312,gender,hate,5
313,313,gender,hate,5
314,314,gender,hate,5
315,315,none,hate,1
316,316,none,none,0
317,317,gender,hate,5
318,318,others,hate,3
319,319,none,hate,1
320,320,none,none,0
321,321,none,hate,1
322,322,none,hate,1
323,323,none,hate,1
324,324,none,none,0
325,325,others,hate,3
326,326,others,hate,3
327,327,none,hate,1
328,328,gender,hate,5
329,329,none,hate,1
330,330,gender,hate,5
331,331,none,none,0
332,332,none,hate,1
333,333,none,hate,1
334,334,none,none,0
335,335,none,none,0
336,336,none,none,0
337,337,gender,hate,5
338,338,none,hate,1
339,339,none,hate,1
340,340,others,hate,3
341,341,none,hate,1
342,342,gender,hate,5
343,343,others,hate,3
344,344,others,hate,3
345,345,none,hate,1
346,346,none,none,0
347,347,others,hate,3
348,348,gender,hate,5
349,349,others,hate,3
350,350,none,none,0
351,351,others,hate,3
352,352,none,hate,1
353,353,none,hate,1
354,354,none,none,0
355,355,none,hate,1
356,356,none,none,0
357,357,others,hate,3
358,358,gender,hate,5
359,359,others,hate,3
360,360,none,none,0
361,361,others,hate,3
362,362,none,none,0
363,363,none,none,0
364,364,none,hate,1
365,365,gender,hate,5
366,366,none,none,0
367,367,none,hate,1
368,368,none,hate,1
369,369,none,none,0
370,370,others,hate,3
371,371,none,none,0
372,372,none,none,0
373,373,none,none,0
374,374,gender,hate,5
375,375,none,hate,1
376,376,gender,hate,5
377,377,none,none,0
378,378,none,none,0
379,379,others,hate,3
380,380,none,none,0
381,381,none,none,0
382,382,none,none,0
383,383,others,hate,3
384,384,none,none,0
385,385,none,none,0
386,386,others,hate,3
387,387,none,none,0
388,388,gender,hate,5
389,389,none,none,0
390,390,none,hate,1
391,391,none,none,0
392,392,none,none,0
393,393,gender,hate,5
394,394,others,hate,3
395,395,none,none,0
396,396,gender,hate,5
397,397,none,none,0
398,398,none,hate,1
399,399,none,hate,1
400,400,others,hate,3
401,401,gender,hate,5
402,402,none,hate,1
403,403,none,hate,1
404,404,gender,hate,5
405,405,none,hate,1
406,406,none,hate,1
407,407,gender,hate,5
408,408,none,hate,1
409,409,none,hate,1
410,410,none,none,0
411,411,none,hate,1
412,412,gender,hate,5
413,413,others,hate,3
414,414,none,hate,1
415,415,none,none,0
416,416,others,hate,3
417,417,none,none,0
418,418,none,none,0
419,419,gender,hate,5
420,420,others,hate,3
421,421,none,hate,1
422,422,none,none,0
423,423,none,hate,1
424,424,others,hate,3
425,425,others,hate,3
426,426,none,hate,1
427,427,others,hate,3
428,428,none,none,0
429,429,gender,hate,5
430,430,others,hate,3
431,431,none,none,0
432,432,gender,hate,5
433,433,none,none,0
434,434,none,hate,1
435,435,none,none,0
436,436,none,none,0
437,437,none,none,0
438,438,gender,hate,5
439,439,none,hate,1
440,440,others,hate,3
441,441,none,none,0
442,442,gender,hate,5
443,443,gender,hate,5
444,444,none,none,0
445,445,others,hate,3
446,446,gender,hate,5
447,447,gender,hate,5
448,448,none,none,0
449,449,gender,hate,5
450,450,none,none,0
451,451,none,none,0
452,452,none,hate,1
453,453,none,hate,1
454,454,none,none,0
455,455,gender,hate,5
456,456,others,hate,3
457,457,none,hate,1
458,458,gender,hate,5
459,459,none,hate,1
460,460,none,none,0
461,461,none,none,0
462,462,none,hate,1
463,463,others,hate,3
464,464,gender,hate,5
465,465,none,hate,1
466,466,none,hate,1
467,467,none,none,0
468,468,others,hate,3
469,469,none,hate,1
470,470,gender,hate,5
471,471,gender,hate,5
472,472,others,hate,3
473,473,none,hate,1
474,474,gender,hate,5
475,475,none,hate,1
476,476,none,none,0
477,477,none,hate,1
478,478,gender,hate,5
479,479,none,hate,1
480,480,none,none,0
481,481,none,hate,1
482,482,others,hate,3
483,483,gender,hate,5
484,484,none,hate,1
485,485,none,hate,1
486,486,none,none,0
487,487,none,none,0
488,488,none,none,0
489,489,none,none,0
490,490,none,hate,1
491,491,others,hate,3
492,492,none,hate,1
493,493,none,hate,1
494,494,none,none,0
495,495,gender,hate,5
496,496,none,none,0
497,497,none,hate,1
498,498,gender,hate,5
499,499,others,hate,3
500,500,none,hate,1
501,501,none,hate,1
502,502,none,none,0
503,503,none,hate,1
504,504,others,hate,3
505,505,none,hate,1
506,506,none,hate,1
507,507,none,none,0
508,508,gender,hate,5
509,509,others,hate,3
510,510,none,hate,1
